结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-6-1,1.4424065853e-07,1.8840905977e-04,1.7802686489e-04,0.000000,0.000000,0.000000
t-6-2,7.6051509268e-07,2.9511880712e-04,2.0744717040e-04,0.003521,0.000000,0.000000
t-6-3,2.9932054986e-06,4.8756998149e-04,3.1327773468e-04,0.007746,0.000000,0.000000
t-6-4,6.9733387136e-06,6.9314928260e-04,4.3297401862e-04,0.011972,0.000000,0.000000
t-6-5,1.1370430002e-05,8.5678446339e-04,5.3425197257e-04,0.015493,0.000000,0.000000
t-6-6,1.7715390641e-05,1.0468396358e-03,6.5762508893e-04,0.019718,0.000000,0.000000
t-6-7,2.5462033591e-05,1.2341983384e-03,8.0002157483e-04,0.023944,0.000000,0.000000
t-6-8,5.0917488988e-04,2.4837418459e-03,1.3714659726e-03,0.027465,0.000000,0.000000
t-6-9,5.2202516235e-04,2.5125753600e-03,1.4446256682e-03,0.031690,0.000000,0.000000
t-7-0,5.3534912877e-04,2.5897603482e-03,1.5301591484e-03,0.035915,0.000000,0.000000
t-7-1,5.4890796309e-04,2.6818262413e-03,1.6066990793e-03,0.039437,0.000000,0.000000
t-7-2,5.9995043557e-04,2.8219416272e-03,1.7203512834e-03,0.043662,0.000000,0.000000
t-7-3,6.3681136817e-04,2.8574250173e-03,1.8374848878e-03,0.047887,0.000000,0.000000
t-7-4,6.8120332435e-04,2.9448147397e-03,1.9716394600e-03,0.051408,0.000000,0.000000
t-7-5,8.6066505173e-04,3.3951944206e-03,2.2420822643e-03,0.055634,0.000000,0.000000
t-7-6,9.5381948631e-04,3.9437152445e-03,2.4671226274e-03,0.059859,0.000000,0.000000
t-7-7,1.0463187937e-03,4.5020515099e-03,2.6523070410e-03,0.063380,0.000000,0.000000
t-7-8,1.1863227701e-03,5.3285053000e-03,2.8787804767e-03,0.067606,0.000000,0.000000
t-7-9,1.3904419029e-03,6.4277970232e-03,3.1226519495e-03,0.071831,0.000000,0.000000
t-8-0,1.6503866063e-03,7.5973919593e-03,3.3521300647e-03,0.075352,0.000000,0.000000
t-8-1,2.1237742621e-03,9.2783588916e-03,3.6950705107e-03,0.079577,0.000000,0.000000

统计项,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
平均值,8.0769445049e-04,3.7825626787e-03,2.2416434010e-03,,,
总和,6.6230945289e-02,3.1017014384e-01,,,,
结构数,82,,,,,,
